OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Ldb2	Ssbp4
Ldb2	Isl2
Ldb2	Lmo3
Ldb2	Lmo1
Ldb2	Lmx1a
Ldb2	Zfp446
Lef1	Pias4
Lhx2	Ssbp2
Lhx2	Ssbp3
Lhx2	Mkl1
Lhx2	Gmeb2
Lhx4	Isl2
Lhx9	Pygo1
Lhx9	Ssbp3
Lhx9	Ssbp4
Lhx9	Zfp446
Lmo4	Ssbp2
Lmx1b	Ssbp2
Lmx1b	Ssbp3
Lmx1b	Ssbp4
Lmx1b	Zfp446
Mycl	Max
Mxd1	Max
Mxd3	Max
Mxd4	Max
Smad1	Zeb2
Smad2	Zeb2
Smad3	Myod1
Smad3	Vdr
Smad4	Tlx3
Smad4	Foxp1
Smad5	Zeb2
Maff	Mms19
Mafg	Nfe2l2
Mafk	Nr4a3
Ascl1	Tcf3
Max	Mxi1
Max	Mycn
Mcm6	Dmrtc2
Mcm6	Gmeb2
Mef2c	Ncoa2
Mef2c	Ncoa3
Meis1	Pbx2
Meis1	Pbx3
Meis1	Pknox1
Meis1	Tlx1
Meis1	Pbx4
Meox1	Pax1
Meox1	Pax3
Meox2	Pax1
Meox2	Pax3
Meox2	Rnf14
Mitf	Pax6
Mitf	Pias3
Pias2	Nfkb1
Mllt10	Stat1
Mllt10	Zbtb3
Meis2	Pax6
Meis2	Pbx1
Meis2	Pbx2
Meis2	Pbx3
Meis2	Tcf3
Meis2	Pbx4
Meis3	Pbx4
Meis3	Jdp2
Msx1	Tbp
Msx2	Spen
Mtf1	Nr4a3
Mtf1	Rnf14
Mtf1	Cers2
Mxi1	Smarca5
Myb	Zfp292
Mybl2	Ikzf2
Mybl2	Gcfc2
Myod1	Tcf3
Ncoa3	Nr1i2
Ncoa3	Per1
Ncoa3	Tbx4
Ncoa3	Hnf4g
Ncoa3	Sirt2
Ncoa3	Polr3f
Ncoa3	Ercc8
Ncoa3	Gtf2e1
Ncoa3	Cers2
Ncoa3	Trps1
Ncoa3	Sirt1
Ncoa3	Ehmt2
Ncoa3	Tle6
Ncoa3	Rorb
Ncoa3	Gcfc2
Neurod1	Mixl1
Nfatc3	Nfatc4
Nfe2	Orc2
Nfe2	Mybbp1a
Nfe2	Kat2b
Nfe2	Per1
Nfe2	Dpf2
Nfe2	Kdm5c
Nfe2	Kdm5d
Nfe2	Snai1
Nfe2	Supt4a
Nfe2	Tial1
Nfe2	Tsg101
Nfe2	Ubp1
Nfe2	Zscan2
Nfe2	Ash2l
Nfe2	Gtf2h2
Nfe2	Zfp292
Nfe2	Pdlim4
Nfe2	Plrg1
Nfe2	Trip4
Nfe2	Ankrd49
Nfe2	Zfp111
Nfe2	Rnf14
Nfe2	Smarce1
Nfe2	Sirt2
Nfe2	Asb1
Nfe2	Zdhhc6
Nfe2	Gtf2e2
Nfe2	Polr2d
Nfe2	Zfp219
Nfe2	Asb12
Nfe2	Ercc8
Nfe2	Mms19
Nfe2	Gtf2e1
Nfe2	Pbx4
Nfe2	Sirt1
Nfe2	Csdc2
Nfe2	Chd4
Nfe2	Med21
Nfe2	Tle6
Nfe2	Ash1l
Nfe2	Kdm4b
Nfe2	Csde1
Nfe2	Polr2b
Nfe2	Zfp592
Nfe2	Zfp764
Nfe2	Carf
Nfe2	Zfp277
Nfe2	Hif1an
Nfe2	Gcfc2
Nfe2l2	Cers2
Nfic	Zfp28
Nfkb1	Nfkb2
Nfkb1	Relb
Nfkb1	Zfp276
Nfkb1	Nfkbiz
Nfkb1	Gmeb2
Nfkb2	Rela
Nfkb2	Relb
Nfkb2	Nfkbiz
Nfkbia	Trp53
Nfya	Nr5a1
Nkx2-2	Tlx3
Nkx2-3	Zfp263
Mycn	Polr1a
Mycn	Hes6
Mycn	Cers2
Nr4a3	Rorb
Nr1i2	Rxrg
Orc2	Blzf1
Otx2	Tlx3
Otx2	Mixl1
Otx2	Dmrtc2
Otx2	Zbtb3
Pax6	Sox2
Pax6	Vax2
Pax6	Hdac10
Pax8	Nkx2-1
Pax8	Jade1
Pax9	Tbx21
Pbx1	Tcf21
Pbx1	Tlx1
Pbx1	Zfp593
Pbx1	Pknox2
Pbx2	Tlx3
Pbx2	Pknox2
Pbx3	Pknox1
Pbx3	Tcf21
Pbx3	Pknox2
Kat2b	Ep300
Per1	Tlx3
Per1	Foxp1
Per2	Gtf2a1
Per2	Foxp1
Per2	Med16
Phf2	Tcf3
Phf2	Maml1
Phf2	Foxp1
Phf2	Tox3
Phtf1	Cited4
Pitx2	Kat5
Pitx3	Sox15
Pml	Zscan21
Pml	Polr2e
Pml	Gtf2e2
Pml	Gtf2e1
Pml	Med16
Pml	Med17
Pou2f1	Polr1a
Pou2f1	Prdm5
Pou4f2	Pou6f1
Pou4f2	Mixl1
Pou6f1	Stat3
Pou6f1	Pou6f2
