database	pathway	gene
REACTOME	Activation of BH3-only proteins	Ywhae
REACTOME	Activation of BH3-only proteins	Ywhag
REACTOME	Activation of BH3-only proteins	Ywhah
REACTOME	Activation of BH3-only proteins	Ywhaq
REACTOME	Activation of BH3-only proteins	Ywhaz
REACTOME	Activation of BIM and translocation to mitochondria	Bcl2l11
REACTOME	Activation of BIM and translocation to mitochondria	Dynll1
REACTOME	Activation of BIM and translocation to mitochondria	Mapk8
REACTOME	Activation of BMF and translocation to mitochondria	Bmf
REACTOME	Activation of BMF and translocation to mitochondria	Dynll2
REACTOME	Activation of BMF and translocation to mitochondria	Mapk8
REACTOME	Activation of C3 and C5	C2
REACTOME	Activation of C3 and C5	C3
REACTOME	Activation of C3 and C5	C4b
REACTOME	Activation of C3 and C5	Cfb
REACTOME	Activation of C3 and C5	Cfp
REACTOME	Activation of C3 and C5	Gm20547
REACTOME	Activation of C3 and C5	Hc
REACTOME	Activation of Ca-permeable Kainate Receptor	Calm1
REACTOME	Activation of Ca-permeable Kainate Receptor	Calm2
