OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Rnf4	Hist3h3
Rnf4	Hist1h4b
Cav1	Strn
Cav1	Strn3
Cav1	Strn4
Map3k5	Dyrk1a
Snca	Ppp2ca
Snca	Slc17a7
Prkca	Pebp1
Prkcb	Pebp1
Prkcg	Pebp1
Prkcz	Pebp1
Raf1	Pebp1
Snca	Park7
Snca	Hspa9
Snca	Hsp90b1
Snca	Canx
Snca	Cltc
Snca	Ncl
Park7	Hspa9
Park7	Hsp90b1
Park7	Canx
Park7	Cltc
Park7	Ncl
Mapt	Klc1
Snca	Klc1
Snca	Dynll1
Klc2	Mapt
Snca	Mcts1
Snca	Pdap1
Snca	Nudt21
Snca	Rps11
Snca	Oscp1
Snca	Rps14
Snca	Rps3
Snca	Hspd1
Snca	Rpl17
Snca	Acta1
Snca	Actc1
Snca	Actr2
Snca	Abcd2
Snca	Aldoc
Snca	Atp5a1
Snca	Acly
Snca	Basp1
Snca	Calm1
Snca	Calr
Snca	Sept7
Snca	Cct3
Snca	Cct4
Snca	Dync1h1
Snca	Eef1a1
Snca	Srsf2
Snca	Hmgb1
Snca	Rps23
Snca	Hnrnpa3
Snca	Rps2
Snca	Hist1h1b
Snca	Rps7
Snca	Rps8
Snca	Rpl11
Snca	Rps6
Snca	Dnaja1
Snca	Rps18
Snca	Map1lc3b
Snca	Hspa8
Snca	Ppib
Snca	Rpl21
Snca	Rpl19
Snca	Rpl30
Snca	Eif2s1
Snca	Eif5a
