feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
LPG(18:1),15.399264101268757,1.2263371249061118e-10,6.634483845742065e-8,LPG,LPG 18:1,LPG 18:1,LPG 18:1/0:0,MOLECULAR_SPECIES,LPG,LPG(18:1)
LPG(18:2),13.973771945344144,1.0588223675094035e-9,2.8641145041129363e-7,LPG,LPG 18:2,LPG 18:2,LPG 18:2/0:0,MOLECULAR_SPECIES,LPG,LPG(18:2)
LPI(16:0),-0.9953904793002782,0.1684051264836552,0.2935133766691237,LPI,LPI 16:0,LPI 16:0,LPI 16:0/0:0,MOLECULAR_SPECIES,LPI,LPI(16:0)
LPI(16:1),-1.0371424135580307,0.22980733835750278,0.3562342981415731,LPI,LPI 16:1,LPI 16:1,LPI 16:1/0:0,MOLECULAR_SPECIES,LPI,LPI(16:1)
LPI(18:0),1.1619297456643922,0.040465859553696984,0.1201319260554192,LPI,LPI 18:0,LPI 18:0,LPI 18:0/0:0,MOLECULAR_SPECIES,LPI,LPI(18:0)
LPI(18:1),-0.9783719818453611,0.00473427782099032,0.035572837516052266,LPI,LPI 18:1,LPI 18:1,LPI 18:1/0:0,MOLECULAR_SPECIES,LPI,LPI(18:1)
LPI(20:4),0.46136387376308086,0.23964195310151845,0.3648319376256113,LPI,LPI 20:4,LPI 20:4,LPI 20:4/0:0,MOLECULAR_SPECIES,LPI,LPI(20:4)
LPI(26:0),1.0373357571192114,0.18122012478006116,0.3092747239937322,LPI,LPI 26:0,LPI 26:0,LPI 26:0/0:0,MOLECULAR_SPECIES,LPI,LPI(26:0)
LPI(28:0),1.47120677639934,0.004694089842866254,0.035572837516052266,LPI,LPI 28:0,LPI 28:0,LPI 28:0/0:0,MOLECULAR_SPECIES,LPI,LPI(28:0)
LPI(28:1),1.5393127579701902,0.009463567775705194,0.05333114756933865,LPI,LPI 28:1,LPI 28:1,LPI 28:1/0:0,MOLECULAR_SPECIES,LPI,LPI(28:1)
LPS(16:0),-1.9190059165917008,0.004627770893236868,0.035572837516052266,LPS,LPS 16:0,LPS 16:0,LPS 16:0/0:0,MOLECULAR_SPECIES,LPS,LPS(16:0)
LPS(18:0),0.6957995506419447,0.09241657998778371,0.19598552401678176,LPS,LPS 18:0,LPS 18:0,LPS 18:0/0:0,MOLECULAR_SPECIES,LPS,LPS(18:0)
